neighborhood,premisescounty,venue_count,avg_subway_entrances,avg_complaints,subway_score,safety_score,competition_score,popupiq_score,boro_check,ntaname,boroname
Old Astoria-Hallets Point,Queens,12,0.4166666666666667,96.83333333333333,0.6313131313131313,90.9076682316119,98.35390946502058,56.3,Queens,Old Astoria-Hallets Point,Queens
Fort Greene,Kings,128,15.0625,254.4765625,22.821969696969695,76.10548708920189,82.44170096021948,56.1,Brooklyn,Fort Greene,Brooklyn
Kingsbridge-Marble Hill,Bronx,23,1.6956521739130435,116.78260869565217,2.5691699604743086,89.03449683608899,96.84499314128944,56.0,Bronx,Kingsbridge-Marble Hill,Bronx
Sheepshead Bay-Manhattan Beach-Gerritsen Beach,Kings,52,0.6346153846153846,82.17307692307692,0.9615384615384615,92.28421812928855,92.86694101508917,55.9,Brooklyn,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,Brooklyn
Sunnyside,Queens,77,6.311688311688312,154.3116883116883,9.563164108618654,85.51063959514664,89.43758573388203,55.9,Queens,Sunnyside,Queens
Forest Hills,Queens,107,4.168224299065421,100.26168224299066,6.315491362220335,90.58575753586942,85.32235939643347,55.8,Queens,Forest Hills,Queens
Park Slope,Kings,103,8.54368932038835,176.92233009708738,12.944983818770226,83.38757463877113,85.87105624142661,55.7,Brooklyn,Park Slope,Brooklyn
Throgs Neck-Schuylerville,Bronx,54,0.1111111111111111,76.12962962962963,0.16835016835016833,92.85167796904886,92.5925925925926,55.7,Bronx,Throgs Neck-Schuylerville,Bronx
Co-op City,Bronx,15,0.2,110.73333333333333,0.30303030303030304,89.60250391236306,97.94238683127571,55.6,Bronx,Co-op City,Bronx
Clinton Hill,Kings,15,4.333333333333333,177.6,6.565656565656565,83.32394366197184,97.94238683127571,55.5,Brooklyn,Clinton Hill,Brooklyn
Astoria (North)-Ditmars-Steinway,Queens,98,4.928571428571429,129.25510204081633,7.467532467532467,87.86337070039284,86.55692729766804,55.4,Queens,Astoria (North)-Ditmars-Steinway,Queens
Ridgewood,Queens,56,2.375,125.83928571428571,3.5984848484848486,88.1841046277666,92.31824417009602,55.2,Queens,Ridgewood,Queens
St. George-New Brighton,Richmond,17,1.588235294117647,141.2941176470588,2.406417112299465,86.73294669980669,97.66803840877914,55.2,Staten Island,St. George-New Brighton,Staten Island
