licensepermitid,premisescounty,description,legalname,dba,actualaddressofpremises,city,statename,zipcode,originalissuedate,expirationdate,georeference
0423-23-136636,Queens,Additional Bar,GENTING NEW YORK LLC,RESORTS WORLD CASINO NEW YORK CITY,11000 ROCKAWAY BLVD,JAMAICA,New York,11420,09/26/2025,09/30/2027,POINT (-73.83176 40.67298)
0423-22-114729,Kings,Additional Bar,GIURO LLC,AITA,132 GREENE AVE,BROOKLYN,New York,11238,02/02/2026,02/29/2028,POINT (-73.96666 40.68659)
0423-22-103075,New York,Additional Bar,MAMMA RISTORANTE CORP,,939 945 8TH AVENUE,NEW YORK,New York,10019,12/04/2024,11/30/2026,POINT (-73.98343 40.76588)
0426-24-107474,Bronx,Additional Bar-Seasonal,WILDLIFE CONSERVATION SOCIETY,WILD ASIA,2300 SOUTHERN BLVD,BRONX,New York,10460,03/18/2026,10/31/2026,POINT (-73.8819 40.85102)
0423-22-111489,New York,Additional Bar,"730 5TH UPPER LLC, AMAN GRP, S.A.R.L & F&B 575 LLC & 730 HAPPENNINGS LLC",,730 5TH AVE,NEW YORK,New York,10019,05/31/2024,05/31/2026,POINT (-73.97413 40.76273)
0423-23-134197,Richmond,Additional Bar,"VANDERBILT AT SOUTH BEACH LLC, THE",,300 FR CAPODANNOBLVD SOPAVLION,STATEN ISLAND,New York,10305,02/14/2025,02/28/2027,POINT (-74.06725 40.58969)
0423-23-129578,New York,Additional Bar,Bridgeton 396 Broadway F&B Management LLC and Bridgeton 396 Property Master Tenant LLC,TENANT LLC;DREAM LOGIC HOSPLLC-GROUND FL ADDBAR,396 BROADWAY,NEW YORK,New York,10013,08/20/2025,08/31/2027,POINT (-74.00259 40.71853)
0423-22-104043,Kings,Additional Bar,LEVY PREMIUM FOODSERVICE LP,PORTABLE NACHOS & BAR; LEVEL 6,620 ATLANTIC AVE,BROOKLYN,New York,11217,08/22/2024,08/31/2026,POINT (-73.97586 40.68347)
0423-22-109092,New York,Additional Bar,"MSG ARENA, LLC",BEER WINE CIDER LIQUOR,4 PENNSYLVANIA PLAZA,NEW YORK,New York,10121,01/06/2026,01/31/2028,POINT (-73.99224 40.75058)
0423-23-131638,New York,Additional Bar,HAKUBAI INC,ADDL BAR BASEMENT,42 E 38TH STREET,NEW YORK,New York,10016,05/12/2025,05/31/2027,POINT (-73.98064 40.75008)
