licensepermitid,premisescounty,description,legalname,dba,actualaddressofpremises,city,statename,zipcode,originalissuedate,expirationdate,georeference
0340-22-104030,New York,Restaurant,STAR DIAMOND OF INDIA LLC,STRIP HOUSE,15 WEST 44TH ST,NEW YORK,New York,10036,09/06/2024,09/30/2026,POINT (-73.98081 40.75515)
0240-23-141915,Kings,Restaurant,HAMILTON HOSPITALITY GROUP INC,SHOKUNIN BBQ,968 60TH ST,BROOKLYN,New York,11219,07/07/2025,07/31/2027,POINT (-74.00575 40.63318)
0340-22-105174,Kings,Restaurant,TASTY TAIWAN 2 LLC,WENWEN,1025 MANHATTAN AVE,BROOKLYN,New York,11222,01/29/2026,01/31/2028,POINT (-73.95488 40.73399)
0240-22-101687,Kings,Restaurant,UME SUSHI LLC,UME,237 KENT AVE,BROOKLYN,New York,11249,10/22/2024,10/31/2026,POINT (-73.96567 40.71662)
0240-23-140607,New York,Restaurant,AVENUE A CANDY LLC,WHITMANS,406 E 9TH STREET,NEW YORK,New York,10009,07/24/2025,07/31/2027,POINT (-73.98434 40.72796)
0240-24-104388,Kings,Restaurant,NEW PACIFIC PALACE INC,,811 55th St,Brooklyn,New York,11220,01/29/2026,01/31/2028,POINT (-74.00628 40.63809)
0240-26-134145,Kings,Restaurant,JINLI BK LLC,Ren Brooklyn,623 Grand St,Brooklyn,New York,11211,01/23/2026,12/31/2027,POINT (-73.94709 40.71134)
0240-23-140590,New York,Restaurant,SLICE WEST VILLAGE LTD,"SLICE, THE PERFECT FOOD",535 HUDSON ST,NEW YORK,New York,10014,12/17/2025,10/31/2027,POINT (-74.00615 40.73464)
0240-25-103742,Richmond,Restaurant,El Mezcal Restaurant LLC,La Cabana Restaurant,97 Victory Blvd,Staten Island,New York,10301,02/27/2025,01/31/2027,POINT (-74.07984 40.63777)
0340-22-110169,New York,Restaurant,MIZNON UWS LLC,SHMONE,61-65 W 8TH ST,NEW YORK,New York,10011,06/24/2025,04/30/2026,POINT (-73.99912 40.73342)
0240-23-139696,Kings,Restaurant,GINZA SUSHI 88 INC,,2809 OCEAN AVE,BROOKLYN,New York,11229,04/21/2025,05/31/2027,POINT (-73.95019 40.59293)
0340-22-111392,Queens,Restaurant,12 CORAZONES REST BAR CORP,12 CORAZONES RESTAURNAT BAR,8622 ROOSEVELT AVE,JASCKSON HEIGHTS,New York,11372,11/22/2024,11/30/2026,POINT (-73.8793 40.74812)
0240-22-101367,New York,Restaurant,SADGURU INC,VEERAY DA DHABA,222 1ST AVE,NEW YORK,New York,10009,01/23/2026,01/31/2028,POINT (-73.98292 40.73088)
0240-24-123865,Kings,Restaurant,HUA YUAN 6 INC,SAKURA 6,837 MANHATTAN AVE,BROOKLYN,New York,11222,08/05/2024,07/31/2026,POINT (-73.95361 40.72874)
0340-22-106152,New York,Restaurant,DING FENG ENTERPRISE LLC,TRI DIM SHANGHAI,1378 3RD AVE,NEW YORK,New York,10075,12/16/2024,12/31/2026,POINT (-73.95763 40.77382)
0240-22-100990,Queens,Restaurant,BEIJING STYLE SKY INC,BEIJING STYLE RESTAURANT,4183 BOWNE ST,FLUSHING,New York,11355,03/06/2026,03/31/2028,POINT (-73.82235 40.7574)
0340-21-119409,Queens,Restaurant,NEW WAVE FOOD LLC,TANDOOR & COMPANY,9524 QUEENS BLVD,REGO PARK,New York,11374,12/04/2025,11/30/2027,POINT (-73.86377 40.73045)
0240-23-140103,New York,Restaurant,NO SKIM MILK CORP,PEPE ROSSO TO GO,130 W HOUSTON ST,NEW YORK,New York,10012,08/25/2025,12/31/2026,POINT (-74.00146 40.72776)
0240-24-111372,Kings,Restaurant,HAINAN CHICKEN INC,,4807 8TH AVE,BROOKLYN,New York,11220,03/20/2026,03/31/2028,POINT (-74.00275 40.64201)
0340-22-104545,Kings,Restaurant,WINSOME FOODS LLC,WIN SON,159 GRAHAM AVE,BROOKLYN,New York,11206,03/07/2024,03/31/2026,POINT (-73.94323 40.70748)
0340-22-107254,Kings,Restaurant,LOUI BROOKLYN INC,,413 MYRTLE AVE,BROOKLYN,New York,11205,02/20/2026,02/29/2028,POINT (-73.9693 40.69311)
0240-25-111384,Kings,Restaurant,VB Stacks LLC,IHOP 3770,2951 Avenue U,Brooklyn,New York,11229,05/23/2025,04/30/2027,POINT (-73.94127 40.6005)
0340-22-110821,Richmond,Restaurant,LA CANDELA ESPANOLA LTD,LA CANDELA ESPANOLA REST,3921 AMBOY ROAD,STATEN ISLAND,New York,10308,06/26/2024,06/30/2026,POINT (-74.14924 40.55153)
0246-24-100075,Bronx,Catering Establishment,SUSAN MELITI,SUSAN'S HOUSE OF MAGIC,3149 Bruckner Blvd,Bronx,New York,10461,05/25/2025,06/30/2027,POINT (-73.82588 40.83847)
0340-22-104395,New York,Restaurant,JANKMAN LLC,JACK'S WIFE FREDA,50 CARMINE ST,NEW YORK,New York,10014,07/24/2025,11/30/2026,POINT (-74.0036 40.72997)
0240-24-105390,New York,Restaurant,TEMIANI LLC,CHAMPION PIZZA,2 W 14th St,New York,New York,10011,02/26/2026,02/29/2028,POINT (-73.99395 40.73614)
0240-23-140544,Queens,Restaurant,M & R PIZZA INC,SOFIA'S PIZZA,112-15 LINDEN BLVD,S OZONE PARK,New York,11420,08/20/2025,08/31/2027,POINT (-73.82551 40.67729)
0340-22-106860,New York,Restaurant,SHIRT RESTAURANT CORP,ISLAND,1305 MADISON AVENUE,NEW YORK,New York,10128,11/19/2024,11/30/2026,POINT (-73.95578 40.78501)
0240-22-100569,Kings,Restaurant,DIMSUM 276 INC,PETITE DUMPLING,276 5TH AVE,BROOKLYN,New York,11215,09/04/2024,09/30/2026,POINT (-73.98202 40.67431)
0340-22-104687-01,New York,Additional Bar,SIXTY HOSPITALITY LLC,AVRA MADISON - Store# 2 Additional Bar,14 E 60TH ST,NEW YORK,New York,10022,08/28/2024,07/31/2026,POINT (-73.97159 40.76449)
0240-22-101628,Queens,Restaurant,YELLOWSTONE SUSHI INC,,66-73 SELFRIDGE ST,FOREST HILLS,New York,11375,09/05/2025,09/30/2026,POINT (-73.85717 40.71724)
0240-25-131499,Kings,Restaurant,World Vibes LLC,Cheeni,485 Tompkins Ave,Brooklyn,New York,11216,12/10/2025,11/30/2027,POINT (-73.94335 40.68064)
0240-22-100096,New York,Restaurant,OPEN MARKET 15 INC,,15 WILLIAM ST,NEW YORK,New York,10005,05/14/2024,05/31/2026,POINT (-74.01 40.70526)
0240-23-140679,New York,Restaurant,UNCLE PAUL'S PIZZA & CAFE INC,UNCLE PAUL'S PIZZA,70 VANDERBILT AVE,NEW YORK,New York,10017,05/14/2025,05/31/2027,POINT (-73.97662 40.75483)
0340-22-108317,New York,Restaurant,BEAUTEMPS INC,MOMOKAWA,1466 1ST AVE,NEW YORK,New York,10075,03/13/2026,03/31/2028,POINT (-73.95395 40.77059)
0340-22-106331,Richmond,Restaurant,LAILA RESTAURANT & LOUNGE INC,,45 PAGE AVE,STATEN ISLAND,New York,10309,12/30/2025,12/31/2027,POINT (-74.23464 40.52334)
0246-24-119322,New York,Catering Establishment,ITALIA LIKE LOCALS INC,,171 Canal St,New York,New York,10013,06/26/2024,05/31/2026,POINT (-73.99724 40.71663)
0240-23-141997,Kings,Restaurant,"SLY ROSE LLC, THE",STOCKED BURGER,663 WASHINGTON AVE,BROOKLYN,New York,11238,06/12/2025,05/31/2027,POINT (-73.96366 40.67728)
0340-22-114221,New York,Restaurant,GUAJILLO RESTAURANT CORP,,2277 1ST AVE,NEW YORK,New York,10035,07/10/2024,07/31/2026,POINT (-73.93487 40.79678)
0340-22-112705,Queens,Restaurant,BARTHENON INC,THE LETLOVE INN,2720 23RD AVE,ASTORIA,New York,11105,10/29/2024,10/31/2026,POINT (-73.91501 40.77588)
0340-22-104065,Kings,Restaurant,TENZAN YUAN CORP,,7119 18TH AVE,BROOKLYN,New York,11204,03/05/2026,04/30/2028,POINT (-73.99408 40.61526)
0240-23-141024,New York,Restaurant,FRIEDMAN'S 31ST STREET LLC,FRIEDMANS,31 PENN PLAZA,NEW YORK,New York,10001,08/21/2025,08/31/2027,POINT (-73.99331 40.75239)
0340-22-104495,Queens,Restaurant,J N P K INC,ARMONDOS ITALIAN  RESTAURANT,73-16 NORTHERN BLVD,JACKSON HEIGHTS,New York,11372,02/05/2026,02/29/2028,POINT (-73.89313 40.75474)
0240-22-101117,New York,Restaurant,KUMRAIMARC LLC,ZABB PUTAWN,1584 1ST AVE,NEW YORK,New York,10028,11/08/2024,11/30/2026,POINT (-73.95104 40.77457)
0240-23-162409,New York,Restaurant,LIN AND DAUGHTERS INC,LIN AND DAUGHTERS,181 W 4TH ST,NEW YORK,New York,10014,10/27/2025,10/31/2027,POINT (-74.00179 40.73247)
0340-22-114198,Kings,Restaurant,PINK METAL LLC,PINK METAL,253 BUSHWICK AVE,BROOKLYN,New York,11206,06/24/2024,06/30/2026,POINT (-73.93977 40.70724)
0340-21-116465,Kings,Restaurant,360 CONCEPTS GROUP 1 LLC,BOWL 360 BROOKLYN,1-25 BOUCK CT,BROOKLYN,New York,11223,10/24/2025,10/31/2027,POINT (-73.97385 40.58874)
0240-23-140667,Queens,Restaurant,JEUN JU SIK DANG INC,JEUN JU KOREAN RESTAURANT,40-11 150TH ST,FLUSHING,New York,11354,05/08/2025,06/30/2027,POINT (-73.81423 40.76326)
0240-24-115815,New York,Restaurant,Aru NY LLC,Curry Flavor,324 E 6th St,New York,New York,10003,05/31/2024,04/30/2026,POINT (-73.98732 40.72689)
0340-22-113652,Queens,Restaurant,PALAZZO NEW YORK INC,Samba BBQ,154-17 ROOSEVELT AVE,FLUSHING,New York,11354,11/13/2024,10/31/2026,POINT (-73.81033 40.76398)
0240-22-101769,New York,Restaurant,BLASK GROUP LLC,GRAMERCY KITCHEN,184 3RD AVE,NEW YORK,New York,10003,07/16/2024,07/31/2026,POINT (-73.98586 40.73511)
0240-23-140064,Richmond,Restaurant,3 GUY SUSHI INC,,530 FOREST AVE,STATEN ISLAND,New York,10310,08/26/2025,08/31/2027,POINT (-74.10792 40.63029)
0240-23-141850,New York,Restaurant,TB CANTINA LLC,TACO BELL CANTINA,224 7TH AVE,NEW YORK,New York,10011,01/28/2025,01/31/2027,POINT (-73.99554 40.74424)
0240-25-103065,New York,Restaurant,El Pitallito Corp,,3854 Broadway,New York,New York,10032,02/15/2025,01/31/2027,POINT (-73.94304 40.8364)
0240-22-100387,Queens,Restaurant,BRIAN 74 INC,CHUNG KIWA RESTAURANT,40-06 74TH ST,ELMHURST,New York,11373,11/01/2024,11/30/2026,POINT (-73.89136 40.74652)
0240-25-116386,New York,Restaurant,Calmplex NYC LLC,,227 231 E 50th St,New York,New York,10022,07/14/2025,06/30/2027,POINT (-73.96956 40.75531)
0340-22-104585,New York,Restaurant,575 PUB ON SECOND INC,THE COCK,93 2ND AVE,NEW YORK,New York,10003,01/02/2025,12/31/2026,POINT (-73.9888 40.72708)
0340-22-110125,Bronx,Restaurant,HOWL BAR & GRILL CORP,LAST CALL BAR & GRILL,2421 ARTHUR AVE,BRONX,New York,10458,05/29/2024,05/31/2026,POINT (-73.88717 40.85612)
0240-23-140019,Queens,Restaurant,CHIMY EXPRESS RESTAURANT INC,CHIMY EXPRESS RESTAURANT,101-17 43RD AVE,CORONA,New York,11368,03/11/2025,02/28/2027,POINT (-73.86306 40.7471)
0340-21-117346,Queens,Restaurant,CAFE RUM LTD,,1050 WYCKOFF AVE,RIDGEWOOD,New York,11385,12/08/2025,11/30/2027,POINT (-73.90315 40.69508)
0340-22-103300,New York,Restaurant,ONE FIFTY FIFTY SEVEN CORP,RUSSIAN TEA ROOM,150 W 57TH ST,NEW YORK,New York,10019,05/08/2025,08/31/2026,POINT (-73.97921 40.76518)
0240-22-100904,Kings,Restaurant,8502 PIZZA AND CATERING CORP,LEO'S,8502 3RD AVE,BROOKLYN,New York,11209,06/28/2024,06/30/2026,POINT (-74.03077 40.62418)
0340-21-118390,New York,Restaurant,H YACHI INC,DONBURIYA & YAKINIKU TOHBAY,253 WEST 55TH STREET,NEW YORK,New York,10019,10/09/2025,10/31/2027,POINT (-73.98331 40.7652)
0340-22-112327,Bronx,Restaurant,M LOUNGE RESTAURANT CORP,,2362 JEROME AVE,BRONX,New York,10468,09/05/2024,08/31/2026,POINT (-73.90272 40.86034)
0240-23-140393,New York,Restaurant,K & P COURT FOOD INC,KOGANE RAMEN,337 W 14TH ST,NEW YORK,New York,10014,01/06/2025,01/31/2027,POINT (-74.00436 40.74053)
0340-22-107366,Queens,Restaurant,420 B 129 CORP,PLUM TOMATOES BY LA SORRENTINA,420 BEACH 129TH ST,BELLE HARBOR,New York,694,04/24/2025,04/30/2026,POINT (-73.8494 40.57841)
0240-23-139646,New York,Restaurant,KARA 230 THOMPSON LLC,KARAKATTA,230 THOMPSON ST,NEW YORK,New York,10012,07/21/2025,08/31/2027,POINT (-73.99882 40.72944)
0340-22-103636,New York,Restaurant,BRUNO IN HARLEM INC,RISTORANTE SETTEPANI,196 LENOX AVE,NEW YORK,New York,10026,03/28/2024,03/31/2026,POINT (-73.94784 40.80442)
0240-26-137900,Bronx,Restaurant,El Maco Restaurant #2 Corp,,572 E 169th St,Bronx,New York,10456,03/19/2026,02/29/2028,POINT (-73.90318 40.83213)
0340-22-103480,New York,Restaurant,230 BLEECKER CORP,COTENNA,21 BEDFORD ST,NEW YORK,New York,10014,03/28/2024,03/31/2026,POINT (-74.00349 40.72906)
0340-22-103050,New York,Restaurant,RALPH LAUREN LSC NY LLC & PB MANAGE NYC LLC,THE POLO BAR RALPH LAUREN,ONE EAST 55TH ST,NEW YORK,New York,10022,11/21/2024,11/30/2026,POINT (-73.97467 40.76157)
0340-22-106237,Queens,Restaurant,DAI HACHI SUSHI CORPORATION,DAI HACHI SUSHI,46 18 VERNON BLVD,LONG ISLAND CITY,New York,11101,07/23/2024,08/31/2026,POINT (-73.95206 40.75276)
0240-22-100436,New York,Restaurant,FAMOUS SICHUAN NEW YORK INC,FAMOUS SICHUAN,10 PELL ST,NEW YORK,New York,10013,11/01/2024,11/30/2026,POINT (-73.99764 40.71474)
0340-22-112412,Kings,Restaurant,KUUN INC,,290 LIVINGSTON ST,BROOKLYN,New York,11217,04/19/2024,04/30/2026,POINT (-73.98282 40.6885)
0240-23-141222,Kings,Restaurant,IKKI JAPANESE CUISINE INC,,122 SMITH STREET,BROOKLYN,New York,11201,04/15/2025,05/31/2027,POINT (-73.98992 40.68754)
0340-22-112955,Bronx,Restaurant,VOGUE RESTAURANT & LOUNGE INC,,1472 OGDEN AVE,BRONX,New York,10452,02/17/2026,01/31/2028,POINT (-73.92364 40.84404)
0240-25-125075,New York,Restaurant,NOONA NOODLES INC,,46 W 36th St,New York,New York,10018,10/05/2025,09/30/2027,POINT (-73.98546 40.75049)
0340-22-107040,New York,Restaurant,ZMF RESTAURANTS LLC,WOLFGANG'S STEAKHOUSE,4 PARK AVE,NEW YORK,New York,10016,01/20/2026,01/31/2028,POINT (-73.98167 40.74678)
0340-22-109344,New York,Restaurant,ESQEV LLC,EMMY SQUARED,83 1ST AVE,NEW YORK,New York,10003,07/24/2024,07/31/2026,POINT (-73.98655 40.7259)
0340-22-107136,New York,Restaurant,ARTUROS PARK INC,,1617 YORK AVE,NEW YORK,New York,10028,01/30/2026,02/29/2028,POINT (-73.94755 40.77535)
0340-22-106966,Queens,Restaurant,IFETA CORP,DIWINE,4115 31ST AVE,ASTORIA,New York,11106,03/11/2026,02/29/2028,POINT (-73.91571 40.76068)
0240-23-141874,New York,Restaurant,123 MADISON LLC,GOLDEN DINER,121 123 MADISON ST,NEW YORK,New York,10002,01/29/2025,02/28/2027,POINT (-73.99398 40.71234)
0340-22-103535,New York,Restaurant,MAISON HARLEM LLC,MAISON HARLEM,341 ST NICHOLAS AVE,NEW YORK,New York,10027,09/06/2024,09/30/2026,POINT (-73.95133 40.81219)
0340-22-102998,Kings,Restaurant,LORAIDEN LLC,SKYTOWN,921 BROADWAY,BROOKLYN,New York,11206,07/31/2024,08/31/2026,POINT (-73.93619 40.69752)
0240-25-132680,Kings,Restaurant,KHOTR RWY THAII INC.,LER LERS,417 Tompkins Ave,Brooklyn,New York,11216,12/31/2025,11/30/2027,POINT (-73.94386 40.68309)
0340-22-105444,Queens,Restaurant,LA COCINITA TEX-MEX CORP,,112-10 JAMAICA AVE,RICHMOND HILL,New York,11418,09/01/2024,08/31/2026,POINT (-73.8361 40.69758)
0340-22-106905,New York,Restaurant,AQUAVIT INC,AQUAVIT RESTAURANT,65 E 55TH ST,NEW YORK,New York,10022,11/18/2024,11/30/2026,POINT (-73.97235 40.7606)
0340-22-113802,New York,Restaurant,RARO INC,RAFELE,29 7TH AVE SOUTH,NEW YORK,New York,10014,04/19/2024,04/30/2026,POINT (-74.0044 40.73082)
0240-24-106679,New York,Restaurant,BELLINI ITALIAN RESTAURANT INC,,483 COLUMBUS AVE,NEW YORK,New York,10024,02/03/2026,02/29/2028,POINT (-73.9735 40.78471)
0240-25-107631,Kings,Restaurant,CHIPOTLE MEXICAN GRILL OF COLORADO LLC,CHIPOTLE MEXICAN GRILL #4491,1004 FLATBUSH AVENUE,BROOKLYN,New York,11226,04/18/2025,03/31/2027,POINT (-73.95812 40.64683)
0240-23-142488,Queens,Restaurant,THE ORIGINAL AMERICAN CHICKEN & BAKERY INTL TWO CORP.,THE ORIGINAL AMERICAN CHICKEN 2,40-12 QUEENS BLVD,SUNNYSIDE,New York,11104,02/26/2025,02/28/2027,POINT (-73.92385 40.7436)
0240-22-100660,Queens,Restaurant,EXCELPAT INC,KING CHEF,133-48 WHITESTONE EXPY,WHITESTONE,New York,11357,02/13/2026,01/31/2028,
0240-26-135013,New York,Restaurant,Traditas Pizza 2 Inc,,"1165 Broadway, Store 8",New York,New York,10001,02/06/2026,01/31/2028,POINT (-73.98883 40.7447)
0240-24-111244,Queens,Restaurant,POLLO D MARIA CORP,DON ALEX,10626 Corona Ave,Corona,New York,11368,04/25/2024,03/31/2026,POINT (-73.85628 40.74373)
0240-21-122440,Kings,Restaurant,NEALTICAN DELI GROCERY CORP.,,1225 FLUSHING AVE,BROOKLYN,New York,11237,11/14/2025,11/30/2027,POINT (-73.92357 40.70792)
0340-22-111545,Kings,Restaurant,DOWNTOWN YUMMY RESTAURANT INC,BK SEAFOOD MARKET,842 64TH ST,BROOKLYN,New York,11220,06/14/2024,06/30/2026,POINT (-74.01074 40.63251)
0240-23-140945,Kings,Restaurant,HOLDINGSPLUS LLC,MIKASA SUSHI,1188 GRAVESEND NECK RD,BROOKLYN,New York,11229,03/07/2025,03/31/2027,POINT (-73.95869 40.5941)
0240-24-136313,Kings,Restaurant,Yin Ji Brooklyn Inc,,2122 86th St,Brooklyn,New York,11214,11/16/2024,10/31/2026,POINT (-73.99546 40.60291)
0240-22-102498,Kings,Restaurant,NEW TAVARES RESTAURANT CORP,TAVARES RESTAURANT,234 CLEVELAND ST,BROOKLYN,New York,11208,10/04/2024,09/30/2026,POINT (-73.88549 40.67942)
0340-22-112475,Queens,Restaurant,SANTA CATARINA INC,JUQUILA,40-12 83RD ST,ELMHURST,New York,11373,07/31/2024,07/31/2026,POINT (-73.88291 40.74729)
0240-24-109577,Kings,Restaurant,JOENISE RESTAURANT INC,,294 ROGERS AVE,BROOKYLN,New York,11225,04/10/2024,03/31/2026,POINT (-73.95361 40.66621)
0240-21-123191,Queens,Restaurant,LEONES PIZZERIA & RESTAURANT INC,BIAGIO'S TRATTORIA,8402 COOPER AVE,GLENDALE,New York,11385,11/29/2025,11/30/2027,POINT (-73.8653 40.71073)
0240-24-126078,Kings,Restaurant,Ctrl-A-Concepts LLC,Gator,105 Norman Ave,Brooklyn,New York,11222,11/19/2024,07/31/2026,POINT (-73.95101 40.72566)
0240-25-108161,Queens,Restaurant,JFK Management Of NY Inc,Golden K Burgers,40-17 Bell Blvd,Bayside,New York,11361,04/24/2025,03/31/2027,POINT (-73.77105 40.76376)
0340-22-110938,New York,Restaurant,HURRICANE STRAUSS INC,WESTVILLE,88 7TH AVE,NEW YORK,New York,10011,05/22/2025,05/31/2026,POINT (-73.999 40.73948)
0240-23-140852,New York,Restaurant,160 MAGURO SUSHI INC,,160 E 28TH ST #2,NEW YORK,New York,10016,08/04/2025,09/30/2027,POINT (-73.98128 40.74214)
0340-21-121150,New York,Restaurant,SEIWA CHU-KOU USA CORP,TORAJI,217 E 43RD ST,NEW YORK,New York,10017,12/10/2025,11/30/2027,POINT (-73.97284 40.75097)
0340-22-114299,Queens,Restaurant,HOST CEG NMG LGA FB LLC,IL VIAGGIO SHAKE SHACK,LAGUARDIA AIRPORT TERMINAL B,FLUSHING,New York,11371,01/10/2026,11/30/2026,
0240-23-141484,New York,Restaurant,NICA RESTAURANT CORP,NICA TRATTORIA,354 E 84TH ST,NEW YORK,New York,10028,01/13/2025,02/28/2027,POINT (-73.95058 40.77567)
0340-22-114467,New York,Restaurant,PINYIN KITCHEN INC,CHOP SHOP,254 10TH AVE,NEW YORK,New York,10001,09/20/2025,09/30/2026,POINT (-74.00339 40.74879)
0240-26-132817,Kings,Restaurant,Duod. Inc.,Sushi On Me,742 Driggs Ave,Brooklyn,New York,11211,01/05/2026,12/31/2027,POINT (-73.96064 40.71256)
0340-22-108150,New York,Restaurant,BL 450 LEXINGTON NY LLC,BLUESTONE LANE,PIER 62 W 23RD ST,NEW YORK,New York,10011,02/27/2026,02/29/2028,POINT (-74.01259 40.719)
0240-22-102456,Kings,Restaurant,7TH AVENUE EATERY CORP,LITTLE PURITY,390 7TH AVE,BROOKLYN,New York,11215,10/16/2025,11/30/2027,POINT (-73.983 40.66518)
0240-25-111742,New York,Restaurant,G&I Food Hospitality LLC,B-Cup Cafe,204 Avenue B,New York,New York,10009,05/29/2025,04/30/2027,POINT (-73.9788 40.72838)
0240-20-100245,Queens,Restaurant,FEJZ CORP,BOCCONCINI,254-19 NORTHERN BLVD,LITTLE NECK,New York,11362,07/05/2024,07/31/2026,POINT (-73.73451 40.77182)
0340-22-112252,New York,Restaurant,85 TENTH RESTAURANTS LLC,AL CORO,85 10TH AVE,NEW YORK,New York,10011,01/20/2026,01/31/2028,POINT (-74.00761 40.74296)
0340-22-103334,New York,Restaurant,HEY MAMBO LLC,BUSTAN NYC,487 AMSTERDAM AVE,NEW YORK,New York,10024,10/01/2024,10/31/2026,POINT (-73.97623 40.78602)
0340-21-116633,New York,Restaurant,NUSRET NEW YORK LLC,NUSRET STEAKHOUSE,51 W 52ND ST,NEW YORK,New York,10019,11/06/2025,11/30/2027,POINT (-73.97901 40.76095)
0340-22-102922,New York,Restaurant,DIM SUM PALACE INC,,334 W 46TH ST,NEW YORK,New York,10036,02/23/2026,02/29/2028,POINT (-73.98924 40.76034)
0240-22-102204,Queens,Restaurant,PANO DION CORP,MILKFLOWER,3412 31ST AVE,ASTORIA,New York,11106,05/30/2024,05/31/2026,POINT (-73.92066 40.76299)
0340-22-107719,Queens,Restaurant,"AMF BOWLING CENTERS, INC.",LUCKY STRIKE QUEENS,69 10 34TH AVENUE,WOODSIDE,New York,11377,10/30/2024,10/31/2026,POINT (-73.89665 40.75251)
0240-23-141690,New York,Restaurant,NEW RONG HANG RESTAURANT INC,,38 ELDRIDGE STREET,NEW YORK,New York,10002,08/07/2025,09/30/2027,POINT (-73.9932 40.71574)
0246-26-137326,New York,Catering Establishment,SSHQNY LP,Spyscape,250 W 55th St Fl 2,New York,New York,10019,03/11/2026,02/29/2028,POINT (-73.98306 40.7651)
0240-23-164241,New York,Restaurant,456 NEW SHANGHAI INC,,69 MOTT ST,NEW YORK,New York,10013,10/07/2025,11/30/2027,POINT (-73.99812 40.71623)
0240-23-140635,New York,Restaurant,JUN 0709 INC,SUNAC NATURAL,620 W 42ND ST,NEW YORK,New York,10036,06/09/2025,06/30/2027,POINT (-73.99914 40.76118)
0240-24-104591,Queens,Restaurant,EL CHANGARO RESTAURANT CORP,,102-10 37TH AVE,CORONA,New York,11368,12/08/2025,01/31/2028,POINT (-73.86494 40.75313)
0240-22-101009,New York,Restaurant,JVB VENTURES LLC,LA SALLE DUMPLING,3141 BROADWAY,NEW YORK,New York,10027,02/18/2026,01/31/2028,POINT (-73.9597 40.81398)
0340-22-104488,Richmond,Restaurant,2110 GROUP INC,FUSHIMI JAPANESE CUISINE,2110 RICHMOND RD UNIT A,STATEN ISLAND,New York,10306,11/21/2024,11/30/2026,POINT (-74.11177 40.58139)
0240-23-141687,New York,Restaurant,PRIMO COFFEE INC,PRIMO CAPPUCCINO,LIRR PENN STATION AMTRACK LVL,NEW YORK,New York,10001,08/28/2025,09/30/2027,
0340-22-108854,New York,Restaurant,48TH RESTAURANT ASSOCIATES LLC,AVRA ESTIATORIO,145 E 48TH ST,NEW YORK,New York,10017,01/09/2026,01/31/2028,POINT (-73.97254 40.75493)
0240-22-100105,New York,Restaurant,OKI POKE RAMAN INC,,135 E 45TH ST,NEW YORK,New York,10017,10/04/2024,10/31/2026,POINT (-73.97418 40.75317)
0240-22-102521,Queens,Restaurant,BASAK CHICKEN INC,,171-07 NORTHERN BLVD,FLUSHING,New York,11358,07/05/2024,07/31/2026,POINT (-73.79563 40.75803)
0240-24-133577,Queens,Restaurant,Coconut Chicken Pot Corp.,Coco Hotpot,37-20 Prince St,Flushing,New York,11354,10/22/2024,09/30/2026,POINT (-73.83267 40.76028)
0340-22-111074,Bronx,Restaurant,690 LOS PRIMOS REST CORP,,698 ALLERTON AVE,BRONX,New York,10467,03/13/2026,02/29/2028,POINT (-73.86761 40.86545)
0340-22-109102,New York,Restaurant,DP HOSPITALITY GROUP LLC,BROOKLYN CHOP HOUSE,150 NASSAU ST,NEW YORK,New York,10038,08/09/2024,08/31/2026,POINT (-74.006 40.71154)
0340-22-110458,New York,Restaurant,LUNGOPARMA LLC,MAESTRO PASTA,102 MACDOUGAL ST,NEW YORK,New York,10012,01/23/2026,01/31/2028,POINT (-74.00101 40.72938)
0340-22-104950,New York,Restaurant,BURGERS AND CHISMIS LLC,GUGU ROOM NYC,143 ORCHARD ST,NEW YORK,New York,10002,08/23/2024,09/30/2026,POINT (-73.98922 40.7201)
0340-22-113610,Kings,Restaurant,CALEXICO CARNE ASADA LLC,,645 MANHATTAN AVENUE,BROOKLYN,New York,11222,11/22/2024,11/30/2026,POINT (-73.95105 40.72424)
0240-23-140616,New York,Restaurant,FREHIWOT W RETA,ABYSSINIA ETHIOPIAN RESTAURANT,268 W 135TH ST,NEW YORK,New York,10030,02/26/2025,02/28/2027,POINT (-73.94577 40.81618)
0240-25-130054,Kings,Restaurant,Mei Qing Restaurant Inc,,4502 8th Avenue,Brooklyn,New York,11220,11/24/2025,10/31/2027,POINT (-74.00087 40.64384)
0340-22-105354,Queens,Restaurant,PARK & J ENTERPRISE CORP,E E LANG,36 27 164TH STREET,FLUSHING,New York,11358,11/22/2024,11/30/2026,POINT (-73.80051 40.77201)
0240-23-141981,New York,Restaurant,LIL CHEF MAMA LLC,,27 CLIFF ST,NEW YORK,New York,10038,05/08/2025,06/30/2027,POINT (-74.00514 40.70826)
0240-22-100621,New York,Restaurant,1568 GYRO LLC,YASOUVLAKI,1568 3RD AVE,NEW YORK,New York,10128,01/06/2026,01/31/2028,POINT (-73.95296 40.78023)
0240-21-122744,Bronx,Restaurant,LAS MARAVILLAS DE MEXICO RESTAURANT CORP,,11 13 BEDFORD PARK BLVD,BRONX,New York,10468,11/07/2025,10/31/2027,POINT (-73.89186 40.87458)
0240-24-129840,Kings,Restaurant,Kim & Mai Holding LLC,Osaka Fusion BBQ & Sushi,1948 86th St,Brooklyn,New York,11214,09/24/2024,08/31/2026,POINT (-73.99922 40.60519)
